trial,subject,sequence,translation_error,rotation_error
trial_1,subject-1,1,1.353850608717416,43.37703687136095
trial_1,subject-1,2,0.09716143834274499,8.487337634875729
trial_1,subject-1,3,0.0002624327624281557,0.025539280834713074
trial_1,subject-1,4,0.0005926790222436518,0.19647573035189284
trial_1,subject-1,5,0.002139675510463145,0.027867267081203635
trial_2,subject-1,1,0.01800456490914962,0.6364917069152417
trial_2,subject-1,4,0.5879975823850029,49.80911934649469
trial_2,subject-1,5,0.0013365740657157294,3.4441662096778765
trial_3,subject-1,1,0.013658585938806585,0.021809251367863665
trial_3,subject-1,2,0.038353476998675244,0.09851464920510022
trial_3,subject-1,3,0.0009423523309436194,0.01930255161392136
trial_3,subject-1,4,5.178914858828738e-05,0.05859414164403819
trial_3,subject-1,5,0.01563970803625494,1.6576341698897616
