trial,subject,sequence,translation_error,rotation_error
trial_1,subject-1,1,1.1496767259503953,38.83203946516062
trial_1,subject-1,2,0.1885042942803368,10.197251254583506
trial_1,subject-1,3,0.018910991516518157,1.5810823392967226
trial_1,subject-1,4,0.09342301562431439,9.100516910886348
trial_1,subject-1,5,0.04875428696139023,0.669389813393529
trial_2,subject-1,1,0.12800853547529806,5.650022261975012
trial_2,subject-1,4,0.6894305592351466,76.497452929214
trial_2,subject-1,5,0.035649565560137465,11.541189802976879
trial_3,subject-1,1,0.0410333400717685,0.5908337668431677
trial_3,subject-1,2,0.08174969694691397,1.6448117963769073
trial_3,subject-1,3,0.026808976237644524,0.6420736945938739
trial_3,subject-1,4,0.02578050008089569,5.530216802771386
trial_3,subject-1,5,0.27895440903999247,11.411529747626735
