trial,subject,sequence,translation_error,rotation_error
trial_1,subject-1,1,1.4549392275640665,45.51549227011897
trial_1,subject-1,2,0.09464400648511512,8.094387627351432
trial_1,subject-1,3,1.769854561099939e-05,0.0008194622997358737
trial_1,subject-1,4,0.0003006197077920394,0.03908190076211959
trial_1,subject-1,5,5.624851014748703e-05,0.01730368300376229
trial_2,subject-1,1,0.628724816052467,33.55669621504094
trial_2,subject-1,4,0.3727094930549043,32.7589974179628
trial_2,subject-1,5,0.0014882125943040702,1.9500505067609732
trial_3,subject-1,1,0.0003133468739403743,0.002274982021968936
trial_3,subject-1,2,0.03434874804062887,0.11372625957967626
trial_3,subject-1,3,6.208020520421061e-05,0.0013547838363777672
trial_3,subject-1,4,2.6851249901615736e-05,0.0008446456842933645
trial_3,subject-1,5,0.0012380990874309447,0.016325303225648832
