trial,subject,sequence,translation_error,rotation_error
trial_1,subject-1,1,0.0226423158016534,1.637090515026493
trial_1,subject-1,2,0.1587265029041784,7.985401829109411
trial_1,subject-1,3,0.028349629170331,1.096777798007706
trial_1,subject-1,4,0.0606901228275321,12.606193728724024
trial_1,subject-1,5,0.0507349438162157,0.4503972605050489
trial_2,subject-1,1,0.1325779885242484,3.1294435817500705
trial_2,subject-1,4,0.057691840709859,8.789902167276217
trial_2,subject-1,5,0.0410951387134488,0.6056677361895142
trial_3,subject-1,1,0.0364039715744311,0.7858348280075222
trial_3,subject-1,2,0.05031827665897,1.82093656771571
trial_3,subject-1,3,0.0231899372464709,0.8461290205533507
trial_3,subject-1,4,0.0224893706900797,1.1572257192296191
trial_3,subject-1,5,0.03751963527416,2.7109879712888407
