trial,subject,sequence,translation_error,rotation_error
trial_1,subject-1,1,0.0205223250762826,2.543608360626941
trial_1,subject-1,2,0.1446964089735863,5.448621137770693
trial_1,subject-1,3,0.0186791014252799,1.55937204316385
trial_1,subject-1,4,0.0929010728737694,8.754133456227983
trial_1,subject-1,5,0.0431238642313423,0.6535127076578396
trial_2,subject-1,1,0.0955031957953121,4.322734508744197
trial_2,subject-1,4,0.0553264586191326,23.876901829060863
trial_2,subject-1,5,0.0342405608468511,8.615937151486747
trial_3,subject-1,1,0.033278091631031,0.5709410624449219
trial_3,subject-1,2,0.0319812115698895,1.5134647116429902
trial_3,subject-1,3,0.0257504264917985,0.6238693570705686
trial_3,subject-1,4,0.0256431361733724,5.478923763968462
trial_3,subject-1,5,0.2670146451686146,10.834441891053933
