trial,subject,sequence,translation_error,rotation_error
trial_1,subject-1,1,1.3796943132193409,43.41957691664456
trial_1,subject-1,2,0.44011861156239157,30.04863438175392
trial_1,subject-1,3,0.00012175744076539705,0.017800841315074537
trial_1,subject-1,4,0.00031672791619733246,0.11165904359486788
trial_1,subject-1,5,0.000658069180324372,0.030152162559839782
trial_2,subject-1,1,0.014235609323283414,0.5787098082242899
trial_2,subject-1,4,0.5801585831138185,68.88433191031616
trial_2,subject-1,5,0.0019354634001768195,0.3327012916480823
trial_3,subject-1,1,0.07792254753095808,5.736392191433085
trial_3,subject-1,2,0.04328727782973728,0.3086264853206206
trial_3,subject-1,3,0.000956838971525742,0.02279036717297264
trial_3,subject-1,4,0.0004311873031665546,0.394313322014974
trial_3,subject-1,5,0.030364891014081418,1.9120187081787239
