trial,subject,sequence,translation_error,rotation_error
trial_1,subject-1,1,1.2445885965796757,40.447842238130185
trial_1,subject-1,2,0.23260219209005045,13.854512047851378
trial_1,subject-1,3,0.028364135036219835,1.09736289674857
trial_1,subject-1,4,0.060729250335117696,12.61152194767257
trial_1,subject-1,5,0.05079664194891792,0.4622364922028351
trial_2,subject-1,1,0.3361636894221092,16.224016190279904
trial_2,subject-1,4,0.680667919045944,72.18971678597126
trial_2,subject-1,5,0.041573794427356654,0.8535307670958481
trial_3,subject-1,1,0.03757573333547223,1.0327601673935363
trial_3,subject-1,2,0.10049568815681835,1.9148714576938468
trial_3,subject-1,3,0.02324974054680802,0.8474313238983281
trial_3,subject-1,4,0.022690401823284398,1.158114008431415
trial_3,subject-1,5,0.04116866334845389,5.921184245638542
