trial,subject,sequence,translation_error,rotation_error
trial_1,subject-1,1,1.4477947200999,47.264450501209446
trial_1,subject-1,2,0.48836132248431874,23.115811214698113
trial_1,subject-1,3,0.05236903462689468,5.253805186963357
trial_1,subject-1,4,0.07656331964885447,29.16201479028416
trial_1,subject-1,5,0.06231027765384546,1.158774488559971
trial_2,subject-1,1,0.17077284191415956,5.818521718115532
trial_2,subject-1,4,0.711959994819989,61.19957211860047
trial_2,subject-1,5,0.15687428876170614,1.2635053734267165
trial_3,subject-1,1,0.06841255498673329,2.7714728038508927
trial_3,subject-1,2,0.14673223323889797,2.037253186150901
trial_3,subject-1,3,0.027504961844142247,0.8024060914392953
trial_3,subject-1,4,0.07903659662917134,9.193762985895079
trial_3,subject-1,5,0.13072933169314954,6.534813776095779
