trial,subject,sequence,translation_error,rotation_error
trial_1,subject-1,01,2.7771232969357103,89.21721989634
trial_1,subject-1,02,0.15942334606998693,7.985401829109411
trial_1,subject-1,03,0.028375512137385903,1.0967989028889005
trial_1,subject-1,04,0.06071029747318311,12.6151985618031
trial_1,subject-1,05,0.05073512250543507,0.4642071392953449
trial_2,subject-1,01,0.15354143928025102,5.468047802064738
trial_2,subject-1,02,,
trial_2,subject-1,03,,
trial_2,subject-1,04,1.183447832607651,122.46839920483856
trial_2,subject-1,05,0.04175967505906284,0.6106410097482772
trial_3,subject-1,01,0.04455788276854115,0.7858348280075222
trial_3,subject-1,02,0.1781019232501931,1.979831756824627
trial_3,subject-1,03,0.023270587856191505,0.8485252150350087
trial_3,subject-1,04,0.022665828905971908,1.158302473688897
trial_3,subject-1,05,0.037519635274160024,2.7538203931709133
