trial,subject,sequence,translation_error,rotation_error
trial_1,subject-1,01,0.026728020434633865,1.6463815961955426
trial_1,subject-1,02,0.16765425447450086,8.005325851146159
trial_1,subject-1,03,0.02837339117606308,1.0967893812747298
trial_1,subject-1,04,0.06069929884888649,12.616637631945983
trial_1,subject-1,05,0.050794866905298795,0.46400077528803535
trial_2,subject-1,01,0.15484787854884774,4.567761134024465
trial_2,subject-1,02,,
trial_2,subject-1,03,,
trial_2,subject-1,04,1.199047587531088,122.34625655169243
trial_2,subject-1,05,0.04190685148452966,0.6091257929222439
trial_3,subject-1,01,0.037055493007472774,1.0921519049632686
trial_3,subject-1,02,0.08509869696466207,1.9180080223877694
trial_3,subject-1,03,0.02323627735627375,0.8466371849973201
trial_3,subject-1,04,0.0226798523252876,1.1579850761394732
trial_3,subject-1,05,0.03991810208455285,2.736500286166235
