trial,subject,sequence,translation_error,rotation_error
trial_1,subject-1,01,2.8136724311433765,89.20813131888752
trial_1,subject-1,02,0.26720570043353875,7.627567181775253
trial_1,subject-1,03,0.05247018850718254,5.239871226407298
trial_1,subject-1,04,0.07643291649645058,29.19752924708855
trial_1,subject-1,05,0.06278918310740184,1.1362992249385757
trial_2,subject-1,01,0.16944631984374706,6.155098964192121
trial_2,subject-1,02,,
trial_2,subject-1,03,,
trial_2,subject-1,04,0.22481238010444854,3.0200906520403454
trial_2,subject-1,05,0.1542608832760147,0.9967860341001961
trial_3,subject-1,01,0.039115515188271624,0.7475363880146566
trial_3,subject-1,02,0.08698846306812606,2.345364958885456
trial_3,subject-1,03,0.028383923285418777,0.8202663773036579
trial_3,subject-1,04,0.07868176056352966,8.863815342081379
trial_3,subject-1,05,0.10370557649610213,4.567551149035554
