trial,subject,sequence,translation_error,rotation_error
trial_1,subject-1,01,0.030765131493878668,2.580463102495972
trial_1,subject-1,02,0.1703521836151203,7.6930549944511695
trial_1,subject-1,03,0.01869693634142254,1.55937204316385
trial_1,subject-1,04,0.09290107287376947,9.185916294886264
trial_1,subject-1,05,0.04969890964728558,0.6560247467907627
trial_2,subject-1,01,0.12818742031488442,5.965430555620479
trial_2,subject-1,02,,
trial_2,subject-1,03,,
trial_2,subject-1,04,0.058499810660470226,24.356247752753326
trial_2,subject-1,05,0.036596685200475855,8.678478549363408
trial_3,subject-1,01,0.03330319931673493,0.5866255859966198
trial_3,subject-1,02,0.055796675984044496,1.5134647116429902
trial_3,subject-1,03,0.027756893876419064,0.6293604715820351
trial_3,subject-1,04,0.02579960156588102,5.479643587372513
trial_3,subject-1,05,0.26933805375095177,10.834441891053931
