trial,subject,sequence,translation_error,rotation_error
trial_1,subject-1,01,1.9107639776713297,70.04242433124412
trial_1,subject-1,02,0.1468463493555405,7.806525190001709
trial_1,subject-1,03,0.019225573142180877,1.6194597883004345
trial_1,subject-1,04,0.09402827056093022,9.219060043496981
trial_1,subject-1,05,0.04902305428527167,0.674878643350028
trial_2,subject-1,01,0.13861642379350095,5.799568897420923
trial_2,subject-1,02,,
trial_2,subject-1,03,,
trial_2,subject-1,04,1.1776282036817094,117.14479195645097
trial_2,subject-1,05,0.03425222782306383,14.71642103993904
trial_3,subject-1,01,0.03952106831223173,0.6473094042741422
trial_3,subject-1,02,0.061036815069544746,1.6170154479222674
trial_3,subject-1,03,0.02575773328152418,0.625983676778017
trial_3,subject-1,04,0.025802294950197504,5.591908155294024
trial_3,subject-1,05,0.2873709687765451,15.830870580670194
