trial,subject,sequence,translation_error,rotation_error
trial_1,subject-1,01,0.03153189131215711,2.543608360626941
trial_1,subject-1,02,0.1446964089735863,5.448621137770693
trial_1,subject-1,03,0.019172025791200635,1.6033227973767248
trial_1,subject-1,04,0.09406329778880272,9.21645946509597
trial_1,subject-1,05,0.0490215891181912,0.6753433174069258
trial_2,subject-1,01,0.13709688760930147,5.5594300411542426
trial_2,subject-1,02,,
trial_2,subject-1,03,,
trial_2,subject-1,04,1.1828198850604474,119.13146020116932
trial_2,subject-1,05,0.03424056084685116,15.316231057244005
trial_3,subject-1,01,0.06360651942958424,0.5709410624449219
trial_3,subject-1,02,0.09529081880849259,1.6625587899015635
trial_3,subject-1,03,0.025877393990775658,0.6238693570705686
trial_3,subject-1,04,0.025801757408349744,5.592242425090347
trial_3,subject-1,05,0.284900988596976,10.951107130986694
