trial,subject,sequence,translation_error,rotation_error
trial_1,subject-1,01,2.765502122471701,88.87531629050063
trial_1,subject-1,02,0.15341527234346816,6.317653873700424
trial_1,subject-1,03,0.01917265622410659,1.6033301097687114
trial_1,subject-1,04,0.09415203572048218,9.200049660818093
trial_1,subject-1,05,0.043123864231342325,0.7399642399557029
trial_2,subject-1,01,0.13870458663502172,5.55841672002092
trial_2,subject-1,02,,
trial_2,subject-1,03,,
trial_2,subject-1,04,1.182819881920912,119.13146030085701
trial_2,subject-1,05,0.03424839069703791,15.316586961935377
trial_3,subject-1,01,0.03364333661872821,0.5863426064890387
trial_3,subject-1,02,0.12835843071569905,1.7264463755447108
trial_3,subject-1,03,0.025890517149641964,0.6241190154818651
trial_3,subject-1,04,0.025800755336079253,5.591812681865168
trial_3,subject-1,05,0.278247686301498,10.852850353974251
