trial,subject,sequence,translation_error,rotation_error
trial_1,subject-1,01,0.02370866904098262,1.6741616540277575
trial_1,subject-1,02,0.45500095949752506,32.607863870648316
trial_1,subject-1,03,0.02836194993867564,1.0979440186013854
trial_1,subject-1,04,0.06077476355247609,12.60656027090118
trial_1,subject-1,05,0.050782262515694766,0.463625858813303
trial_2,subject-1,01,0.14358195146809244,6.016589474591521
trial_2,subject-1,02,,
trial_2,subject-1,03,,
trial_2,subject-1,04,1.1986345208884834,122.34394311807993
trial_2,subject-1,05,0.04127732924980285,0.6238080416910515
trial_3,subject-1,01,0.03644831882680362,1.0519182115497694
trial_3,subject-1,02,0.083867208573642,1.918608245515934
trial_3,subject-1,03,0.02324343730401392,0.8466785074093562
trial_3,subject-1,04,0.02268605694882251,1.1579910005454226
trial_3,subject-1,05,0.03754531785036167,2.7162639987741453
