trial,subject,sequence,translation_error,rotation_error
trial_1,subject-1,01,0.020522325076282617,2.628701185733743
trial_1,subject-1,02,0.14641824016315416,7.493457538791997
trial_1,subject-1,03,0.019178041249036833,1.6039076804881196
trial_1,subject-1,04,0.09393606423173627,9.215120312300005
trial_1,subject-1,05,0.0489918941987641,0.6615332359859162
trial_2,subject-1,01,0.13771300157083488,6.463663158867054
trial_2,subject-1,02,,
trial_2,subject-1,03,,
trial_2,subject-1,04,1.1828198819209133,119.13146030085703
trial_2,subject-1,05,0.034241875986167514,15.316387114616
trial_3,subject-1,01,0.06606264463896695,0.5806970723499835
trial_3,subject-1,02,0.1278893499959945,1.7192322097863757
trial_3,subject-1,03,0.025750426491798588,0.6260040108282287
trial_3,subject-1,04,0.02580088648303196,5.591800301799522
trial_3,subject-1,05,0.3155322354491273,10.839929811358346
