trial,subject,sequence,translation_error,rotation_error
trial_1,subject-1,01,0.03438412035670925,2.5846929030833516
trial_1,subject-1,02,0.4463123345433153,32.69092081064414
trial_1,subject-1,03,0.018691580779318723,1.5599814771254754
trial_1,subject-1,04,0.0929177231080847,9.178620872844412
trial_1,subject-1,05,0.04966913903774973,0.6536394659051232
trial_2,subject-1,01,0.09550319579531216,5.235927528076716
trial_2,subject-1,02,,
trial_2,subject-1,03,,
trial_2,subject-1,04,1.1991734721697305,117.9431906998701
trial_2,subject-1,05,0.0365980008170105,8.676610025639318
trial_3,subject-1,01,0.03328940833873606,0.5865037024180239
trial_3,subject-1,02,0.03199097148565129,1.7491724160569238
trial_3,subject-1,03,0.02755247008112009,0.6609768937562996
trial_3,subject-1,04,0.025643136173372424,5.486090105608619
trial_3,subject-1,05,0.2695714387074365,10.84928523071946
