trial,subject,sequence,translation_error,rotation_error
trial_1,subject-1,01,0.04242506797188074,2.6189210873705338
trial_1,subject-1,02,0.269107280256829,6.348195577456069
trial_1,subject-1,03,0.052242463387687677,5.273267953363157
trial_1,subject-1,04,0.07680300324503353,29.20007129067768
trial_1,subject-1,05,0.06207184982234306,1.2018567594940517
trial_2,subject-1,01,0.17991850993282243,5.4546268313829325
trial_2,subject-1,02,,
trial_2,subject-1,03,,
trial_2,subject-1,04,1.3150628965657984,135.02180109874428
trial_2,subject-1,05,0.15865231993809972,1.6137738655439753
trial_3,subject-1,01,0.05611885883073641,1.9266417146036727
trial_3,subject-1,02,0.20158014886176528,2.519209088518253
trial_3,subject-1,03,0.026487247922275553,0.778727709613559
trial_3,subject-1,04,0.07949468395296802,9.610039280066154
trial_3,subject-1,05,0.14960216437633944,9.38211628245008
