trial,subject,sequence,translation_error,rotation_error
trial_1,subject-1,01,2.774995024762814,88.85881024621682
trial_1,subject-1,02,0.14502303803611907,8.361830357549252
trial_1,subject-1,03,0.02504875742129912,1.4792538600387004
trial_1,subject-1,04,0.060043071515788846,4.453366607792909
trial_1,subject-1,05,0.05061458793179654,0.5411412971764813
trial_2,subject-1,01,0.13262468525823637,4.758812740256399
trial_2,subject-1,02,,
trial_2,subject-1,03,,
trial_2,subject-1,04,0.05725191423782581,21.39807510465159
trial_2,subject-1,05,0.042440781526138664,7.530665899801442
trial_3,subject-1,01,0.03514230895675331,0.6344130670702409
trial_3,subject-1,02,0.03232798702502529,1.7773007990741174
trial_3,subject-1,03,0.025093037424270232,0.7219586881862035
trial_3,subject-1,04,0.02517932955154006,2.0956881429558494
trial_3,subject-1,05,0.042303049798623864,2.7539958397426965
