trial,subject,sequence,translation_error,rotation_error
trial_1,subject-1,01,0.021125755551121374,2.590382676084419
trial_1,subject-1,02,0.1573316482679859,8.177315324550174
trial_1,subject-1,03,0.025004124731670973,1.4812018357975203
trial_1,subject-1,04,0.06098059196563367,4.571984221135997
trial_1,subject-1,05,0.05074937666705513,0.5408519100540161
trial_2,subject-1,01,0.13836934551740776,6.654610715735641
trial_2,subject-1,02,,
trial_2,subject-1,03,,
trial_2,subject-1,04,0.10472945383595102,20.15019828642653
trial_2,subject-1,05,0.03877925877478554,3.193706727705447
trial_3,subject-1,01,0.03496838575098569,0.6347404029014951
trial_3,subject-1,02,0.03234352320997492,1.778445265508676
trial_3,subject-1,03,0.025100523184445233,0.7221390374381601
trial_3,subject-1,04,0.02513896552729077,2.096196761806618
trial_3,subject-1,05,0.04252166299722711,2.7530356925202577
