trial,subject,sequence,translation_error,rotation_error
trial_1,subject-1,01,0.02677782777723739,1.6456357782396445
trial_1,subject-1,02,0.4485565765738862,32.6814627568172
trial_1,subject-1,03,0.028372813432964297,1.0968413161879886
trial_1,subject-1,04,0.060732038227617795,12.610498113764615
trial_1,subject-1,05,0.05079479573152269,0.4633837176346557
trial_2,subject-1,01,1.8526196018460361,105.06889368382282
trial_2,subject-1,02,,
trial_2,subject-1,03,,
trial_2,subject-1,04,0.06605150974864989,9.428603107667847
trial_2,subject-1,05,0.04167639781514756,0.609739385004512
trial_3,subject-1,01,0.0364039715744311,1.0512855026729884
trial_3,subject-1,02,0.050318276658970075,1.82093656771571
trial_3,subject-1,03,0.023257283125469593,0.8471196756896767
trial_3,subject-1,04,0.02248937069007977,1.1572257192296191
trial_3,subject-1,05,0.06002180299196511,31.399694408959572
