trial,subject,sequence,translation_error,rotation_error
trial_1,subject-1,01,2.775243010560114,88.78998625733544
trial_1,subject-1,02,0.17000347322703055,8.164289347407648
trial_1,subject-1,03,0.018679101425279922,1.5603374622148767
trial_1,subject-1,04,0.09292086380876001,9.179308192198263
trial_1,subject-1,05,0.0497520002406493,0.6535127076578396
trial_2,subject-1,01,0.14224909262114693,6.359391223655005
trial_2,subject-1,02,,
trial_2,subject-1,03,,
trial_2,subject-1,04,0.055326458619132664,23.880781660953748
trial_2,subject-1,05,0.036878357201468225,8.615937151486747
trial_3,subject-1,01,0.03331387852703369,0.5869519600110646
trial_3,subject-1,02,0.0870088917841752,1.5168417325657169
trial_3,subject-1,03,0.027551400117663733,0.663834087550275
trial_3,subject-1,04,0.02578875880758982,5.479948719737439
trial_3,subject-1,05,0.2705198358601209,10.838013341481314
