trial,subject,sequence,translation_error,rotation_error
trial_1,subject-1,01,1.571176045237479,59.07781297058227
trial_1,subject-1,02,0.5618331529334372,32.42252900208699
trial_1,subject-1,03,0.052239259769693985,5.271943503006699
trial_1,subject-1,04,0.07723483236106843,29.225840147172477
trial_1,subject-1,05,0.06214026096487135,1.1991374534035857
trial_2,subject-1,01,0.1676597006013373,5.137199527783404
trial_2,subject-1,02,,
trial_2,subject-1,03,,
trial_2,subject-1,04,1.3518953260660682,130.15007747216288
trial_2,subject-1,05,0.15868450065230041,1.6141209044435338
trial_3,subject-1,01,0.04874313266368519,0.5111837057228882
trial_3,subject-1,02,0.13667299820586573,1.9206646004771242
trial_3,subject-1,03,0.026474546286162456,0.778939508549185
trial_3,subject-1,04,0.07949503863229354,9.610019338979654
trial_3,subject-1,05,0.14067753764033092,7.228131224305826
