trial,subject,sequence,translation_error,rotation_error
trial_1,subject-1,01,2.7916017541952263,88.92424113196559
trial_1,subject-1,02,0.17629187824022857,8.067008347204228
trial_1,subject-1,03,0.028350775994485967,1.0981093110952325
trial_1,subject-1,04,0.06075012572980631,12.608632078260962
trial_1,subject-1,05,0.05078683568486271,0.463622212629593
trial_2,subject-1,01,0.13257798852424846,4.486117082762373
trial_2,subject-1,02,,
trial_2,subject-1,03,,
trial_2,subject-1,04,0.057691840709859075,10.371366789687885
trial_2,subject-1,05,0.04115265045345622,1.3483009692309345
trial_3,subject-1,01,0.03737107339690353,1.0723598487262442
trial_3,subject-1,02,0.08386720857364204,1.918608245515911
trial_3,subject-1,03,0.02327493439700836,0.8486644406403526
trial_3,subject-1,04,0.02271038774895378,1.1581953100353313
trial_3,subject-1,05,0.03839874405713905,2.7464430133331064
