trial,subject,sequence,translation_error,rotation_error
trial_1,subject-1,01,0.08335021839925578,2.5615057575398916
trial_1,subject-1,02,0.26624992233672456,7.8097725576647985
trial_1,subject-1,03,0.05247144360319595,5.2388329775817715
trial_1,subject-1,04,0.0764109619791097,29.197081626702264
trial_1,subject-1,05,0.06273017077621182,1.1349945848449892
trial_2,subject-1,01,0.15789742056676123,5.233355272600719
trial_2,subject-1,02,,
trial_2,subject-1,03,,
trial_2,subject-1,04,0.22479249157218453,3.0206906264186695
trial_2,subject-1,05,0.15503064851342005,0.9781820001280689
trial_3,subject-1,01,0.03900175796081977,0.7474067897103185
trial_3,subject-1,02,0.11358900136452921,1.8871321161751033
trial_3,subject-1,03,0.028381494732898718,0.8200714323972458
trial_3,subject-1,04,0.07866678751946486,8.859276773978836
trial_3,subject-1,05,0.11251546049589779,5.181333215445769
