trial,subject,sequence,translation_error,rotation_error
trial_1,subject-1,01,2.7725711993703777,88.70404759625684
trial_1,subject-1,02,0.1769618933352829,8.290575797824541
trial_1,subject-1,03,0.028349629170331066,1.0979525057237531
trial_1,subject-1,04,0.06069012282753213,12.615187281165177
trial_1,subject-1,05,0.05103661693049424,0.4503972605050489
trial_2,subject-1,01,0.14965707503459516,5.954553895091033
trial_2,subject-1,02,,
trial_2,subject-1,03,,
trial_2,subject-1,04,1.1460862149086135,122.26448333511786
trial_2,subject-1,05,0.042023630062677064,0.6056677361895142
trial_3,subject-1,01,0.03646426344779119,1.0453477313590955
trial_3,subject-1,02,0.08388938531341068,1.91791684163194
trial_3,subject-1,03,0.02323247619341377,0.8465586411032585
trial_3,subject-1,04,0.022716104647433278,1.1581156813314704
trial_3,subject-1,05,0.038671349026569456,2.7232179608465925
