trial,subject,sequence,translation_error,rotation_error
trial_1,subject-1,01,0.044120749443648875,2.599834715015119
trial_1,subject-1,02,0.5629561357474007,32.416877526618045
trial_1,subject-1,03,0.0522410881923125,5.272935138232507
trial_1,subject-1,04,0.0763732938243034,28.86582485971181
trial_1,subject-1,05,0.062013157791153885,1.1498798389023284
trial_2,subject-1,01,0.15476164916771626,5.906994284095686
trial_2,subject-1,02,,
trial_2,subject-1,03,,
trial_2,subject-1,04,1.3113725114750918,134.97910247601487
trial_2,subject-1,05,0.15868016084514205,1.614047992943771
trial_3,subject-1,01,0.03953617450933804,0.7047335793877244
trial_3,subject-1,02,0.18575266667980092,1.9691713237426598
trial_3,subject-1,03,0.02646641361072187,0.7789869949419804
trial_3,subject-1,04,0.07949161926306929,9.609693571207536
trial_3,subject-1,05,0.18414079145871134,9.548190864294565
