trial,subject,sequence,translation_error,rotation_error
trial_1,subject-1,01,2.7483927850033547,88.89457098705442
trial_1,subject-1,02,0.15632750599990342,8.480920840450704
trial_1,subject-1,03,0.018691843119017417,1.5599904939040186
trial_1,subject-1,04,0.0929346689205952,8.755983900109179
trial_1,subject-1,05,0.04976008750407287,0.6543199724003971
trial_2,subject-1,01,0.0984566004844378,5.585637724215561
trial_2,subject-1,02,,
trial_2,subject-1,03,,
trial_2,subject-1,04,0.11046098046387003,23.876901829060866
trial_2,subject-1,05,0.03689130034805031,8.616922409759367
trial_3,subject-1,01,0.033278091631031056,0.5859610770599789
trial_3,subject-1,02,0.03198121156988952,1.7487641276999846
trial_3,subject-1,03,0.02755949982568953,0.6611303298638341
trial_3,subject-1,04,0.02579895292433326,5.4795814842063715
trial_3,subject-1,05,0.2670146451686146,10.857675272252724
